car_model,price,year_model,kms
Volkswagen Jetta 1.4 Tsi Highline,$75.000.000,2019,68.000
Volkswagen Jetta 2.0 Europa,$32.900.000,2014,101.000
Volkswagen Jetta 2.0 Trendline,$54.990.000,2017,26.582
Volkswagen Jetta 2.5 Trendline,$37.900.000,2012,143.000
Volkswagen Jetta,$34.900.000,2015,80.000
Volkswagen Jetta 2.5 Comfortline,$47.900.000,2013,123.000
Volkswagen Jetta 2.0 Trendline,$48.900.000,2017,53.000
Volkswagen Jetta 2.0 Europa,$34.990.000,2015,103.000
Volkswagen Jetta 2.0 Trendline,$33.900.000,2013,79.000
Volkswagen Jetta 2.5 Comfortline,$40.000.000,2013,78.000
Volkswagen Jetta 1.8 Gli,$39.900.000,2012,80.000
Volkswagen Jetta 2.0 Trendline,$31.500.000,2009,128.000
Volkswagen Jetta 2.5 Trendline,$40.500.000,2014,61.000
Volkswagen Jetta 2.0 Europa,$27.000.000,2011,141.000
Volkswagen Jetta 2.5 Comfortline,$38.300.000,2011,123.000
Volkswagen Jetta 2.0 Europa,$38.900.000,2015,110.000
Volkswagen Jetta 2.0 Trendline,$20.500.000,2006,140.000
Volkswagen Jetta 2.0 Europa,$39.000.000,2015,73.000
Volkswagen Jetta 2.5 Comfortline,$39.500.000,2012,89.000
Volkswagen Jetta 2.5 Trendline,$39.990.000,2011,67.200
Volkswagen Jetta 2.0 Europa,$34.000.000,2014,101.714
Volkswagen Jetta 2.0 Trendline,$29.500.000,2012,107.000
Volkswagen Jetta 2.5 Trendline,$42.000.000,2014,67.000
Volkswagen Jetta 2.0 Comfortline,$45.800.000,2016,78.000
Volkswagen Jetta 2.0 Trendline,$31.500.000,2008,108.694
Volkswagen Jetta 2.0 Europa,$39.900.000,2015,90.000
Volkswagen Jetta 2.5 Trendline,$36.500.000,2012,110.000
Volkswagen Jetta 2.5 Trendline,$36.900.000,2011,98.000
Volkswagen New Jetta 2.5,$26.900.000,2011,121.000
Volkswagen Jetta 2.5 Highline,$49.990.000,2017,108.000
Volkswagen Jetta Europa 2014 Mt 2000,$32.900.000,2014,134.899
Volkswagen Jetta 2.0 Europa,$30.000.000,2014,93.000
Volkswagen Jetta 2.0 Comfortline,$65.000.000,2018,48.000
Volkswagen Jetta 2.0 Europa,$28.000.000,2011,110.000
Volkswagen Jetta 1.8 Gli,$35.800.000,2012,84.000
Volkswagen Jetta 2.0 Automatico,$39.800.000,2014,82.000
Volkswagen Jetta 2.0 Europa,$28.900.000,2012,123.000
Volkswagen Jetta Classic 2.0 ,$34.900.000,2013,130.000
Volkswagen Jetta 2.0 Gli 200 hp,$105.000.000,2016,70.000
Volkswagen Jetta 2.0 Gli,$52.900.000,2013,93.000
Volkswagen Jetta Sportline,$75.900.000,2020,51.000
Volkswagen Jetta 2.5 Comfortline,$39.900.000,2014,96.000
Volkswagen Jetta 1.8 Trendline,$24.000.000,2008,116.000
Volkswagen Jetta 2.0 Trendline,$44.500.000,2016,89.000
Volkswagen New Jetta 2.0 Trendline 2016,$44.500.000,2016,89.000
Volkswagen Jetta 2.0 Gli,$54.500.000,2013,63.000
Volkswagen Jetta 1.4 Tsi Comfortline,$100.900.000,2023,9.000
Volkswagen Jetta 1.8 Gli,$50.000.000,2011,120.000
Volkswagen Jetta 2.5 Trendline,$33.990.000,2014,105.000
Volkswagen Jetta 2.0  Europa Automatico Rines Full Equipo,$34.990.000,2015,80.000
Volkswagen Jetta 1.4 Tsi Highline,$82.000.000,2020,38.000
Volkswagen Jetta 2.0 Trendline,$28.900.000,2009,149.600
Volkswagen Jetta 2.0 Trendline,$25.000.000,2007,131.000
Volkswagen Jetta 2.0 Trendline,$27.900.000,2011,92.000
Volkswagen Jetta 1.4T comfortline,$96.000.000,2023,10.800
Volkswagen Jetta 2.0 Trendline,$25.500.000,2008,124.321
Volkswagen Jetta 2.0 Trendline 5 p,$38.500.000,2014,92.000
Volkswagen New Jetta Sport Line,$83.900.000,2020,22.000
Volkswagen NEW JETTA 2.0 GLi NEW JETTA 2.0 GLi AT,$65.000.000,2013,65.350
Volkswagen Jetta 2.0 Trendline 5 p,$40.600.000,2015,100.055
Volkswagen Jetta 1.4 Tsi Sportline Techo Curo Rines Full Equipo,$69.990.000,2019,78.000
Volkswagen Jetta 2.5 Highline,$53.000.000,2015,107.000
Volkswagen Jetta 2.5 Comfortline,$49.500.000,2014,48.000
Volkswagen Jetta 2009,$28.300.000,2009,106.000
Volkswagen Jetta 2.0 Europa,$38.900.000,2014,80.000
Volkswagen Jetta 2.0 Europa,$34.000.000,2014,87.000
Volkswagen Jetta 1.4 Tsi Comfortline,$75.000.000,2020,33.747
Volkswagen Jetta 2.5 Trendline,$40.900.000,2014,120.000
Volkswagen,$45.890.000,2016,75.000
Volkswagen Jetta 2.0 Europa,$33.000.000,2012,92.040
Volkswagen Jetta 2.0 Trendline,$33.000.000,2011,71.855
Volkswagen Jetta 2.5 Comfortline,$37.500.000,2013,102.000
Volkswagen Jetta 2.0 Europa,$33.900.000,2015,102.000
Volkswagen Jetta 2.5 Highline,$69.900.000,2018,52.000
Volkswagen Jetta 2.0 Trendline,$26.900.000,2008,140.000
Volkswagen Jetta 2.0 Trendline,$22.500.000,2007,83.000
Volkswagen Jetta 1.4 Tsi Comfortline,$66.000.000,2019,59.000
Volkswagen Jetta 2.0 Trendline,$27.800.000,2010,130.000
Volkswagen Jetta 2.0 Comfortline,$58.000.000,2018,75.000
Volkswagen Jetta 2.5 Comfortline,$40.000.000,2014,91.000
Volkswagen Jetta 2.0 Trendline 4 p 115 hp,$42.000.000,2014,113.569
Volkswagen Jetta 2.0 Europa,$30.900.000,2011,105.000
Volkswagen Jetta 1.4 Tsi Highline,$99.900.000,2023,8.000
Volkswagen Jetta 1.4 Tsi Comfortline,$61.000.000,2019,77.335
Volkswagen Jetta 2.5 Comfortline,$33.900.000,2012,99.000
Volkswagen Jetta 1.4 Tsi Comfortline,$74.000.000,2019,29.000
Volkswagen Jetta 2.0 Europa,$24.800.000,2009,104.000
Volkswagen Jetta 2.0 Comfortline,$55.000.000,2018,72.000
Volkswagen New Jetta 2.5 Automático,$39.900.000,2012,65.000
Volkswagen Jetta Confort Line,$92.900.000,2023,10.500
Volkswagen Jetta 2.0 Trendline,$25.000.000,2011,144.500
Volkswagen Jetta 1.4 Tsi Comfortline,$87.000.000,2022,27.072
Volkswagen Jetta 1.4 Tsi Comfortline,$67.990.000,2019,29.000
Volkswagen Jetta 2.0 Comfortline,$65.000.000,2019,60.000
Volkswagen Jetta 2.0 Comfortline,$47.000.000,2017,68.000
Volkswagen Jetta 2.0 Trendline,$27.900.000,2009,170.000
Volkswagen Jetta 2.5 Comfortline,$47.500.000,2014,90.000
Volkswagen Jetta 1.8 Gli,$48.000.000,2011,81.000
Volkswagen Jetta 2.0 Trendline,$25.900.000,2007,104.000
Volkswagen Jetta 2.0 Gli,$125.000.000,2022,28.854
Volkswagen Jetta 2.0 Europa,$33.500.000,2013,67.800
Volkswagen Jetta 2.0 Trendline,$52.500.000,2018,98.000
Volkswagen Jetta 1.4 Tsi Comfortline,$72.500.000,2020,84.000
Volkswagen Jetta 2.0 Europa,$29.990.000,2013,49.000
Volkswagen Jetta New Jetta Automático,$37.500.000,2012,140
Volkswagen Jetta 2.5 Trendline,$37.000.000,2012,112.000
Volkswagen Jetta 2.0 Trendline 4 p 115 hp,$29.990.000,2014,40.000
Volkswagen Jetta 2.5 Comfortline,$39.900.000,2014,81.000
Volkswagen Jetta 2.0 Europa,$32.900.000,2014,79.000
Volkswagen Jetta 2.0 Trendline,$31.000.000,2012,131.000
Volkswagen Jetta 2.0 Europa,$24.300.000,2007,132.251
Volkswagen Jetta 1.8 Gli,$37.800.000,2011,103.000
Volkswagen Jetta 1.4 Tsi Sportline,$86.000.000,2019,31.200
Volkswagen Jetta 2.5 Comfortline,$50.900.000,2016,86.000
Volkswagen Jetta 2.5 Comfortline,$43.000.000,2014,77.000
Volkswagen Jetta 2.0 Europa,$42.000.000,2015,39.700
Volkswagen Jetta 2.0 Trendline 5 p,$44.200.000,2014,81.000
Volkswagen Jetta 1.4 Tsi Comfortline,$72.000.000,2020,25.000
Volkswagen Jetta 2.0 Trendline,$25.900.000,2009,92.500
Volkswagen Jetta 1.4 Tsi Highline,$97.990.000,2022,15.850
Volkswagen Jetta 1.4 Tsi Comfortline,$63.000.000,2020,35.000
Volkswagen Jetta 2.0 Europa,$36.000.000,2015,63.674
Volkswagen Jetta 2.5 Comfortline,$45.000.000,2014,79.733
Jetta Europa 2011,$34.000.000,2011,85.700
Volkswagen Jetta 2.0 Europa,$38.000.000,2015,78.000
Volkswagen Jetta 2.0 Trendline,$29.900.000,2009,92.000
Volkswagen Jetta 2.0 Trendline,$19.900.000,2007,176.000
Volkswagen Jetta 2.5 Comfortline,$49.500.000,2015,58.000
Volkswagen Jetta 2.5 Comfortline,$38.000.000,2013,88.000
Volkswagen Jetta 2.0 Trendline,$31.500.000,2011,102.000
Volkswagen Jetta 2.5 Trendline,$43.000.000,2013,89.000
Volkswagen Jetta 2.0 Trendline,$22.000.000,2007,137.000
Volkswagen Jetta 2.5 Comfortline,$33.500.000,2011,100.300
Volkswagen Jetta 1.4 Tsi Comfortline,$70.500.000,2020,72.000
Volkswagen Jetta 2.0 Trendline 4 p,$41.000.000,2015,108.000
Volkswagen Jetta 2.0 Trendline 4 p 115 hp,$38.000.000,2014,108.000
Volkswagen Jetta 1.8 Gli,$21.000.000,2010,145.000
Volkswagen Jetta 2.0 Trendline,$24.900.000,2008,156.000
Volkswagen Jetta 2.0 Trendline,$32.000.000,2013,160.000
